Date,High,Medium,is_abnormal
2012-01-02,0,2,0
2012-01-03,3,3,0
2012-01-04,0,5,0
2012-01-05,0,6,0
2012-01-06,3,11,0
2012-01-09,0,4,0
2012-01-11,2,0,0
2012-01-12,4,7,0
2012-01-13,1,3,1
2012-01-16,0,2,0
2012-01-17,3,4,0
2012-01-18,0,3,0
2012-01-19,3,7,0
2012-01-20,1,2,0
2012-01-23,1,5,0
2012-01-24,0,9,0
2012-01-25,1,5,0
2012-01-26,1,7,0
2012-01-27,3,3,0
2012-01-29,1,1,0
2012-01-30,2,6,0
2012-01-31,1,4,0
2012-02-01,1,6,0
2012-02-02,2,2,0
2012-02-03,3,11,0
2012-02-06,0,3,0
2012-02-07,0,2,1
2012-02-08,0,1,0
2012-02-09,1,1,0
2012-02-10,3,4,1
2012-02-14,2,8,0
2012-02-15,6,2,0
2012-02-16,1,8,1
2012-02-17,3,4,0
2012-02-19,1,0,0
2012-02-20,0,2,0
2012-02-21,0,4,0
2012-02-22,0,14,0
2012-02-23,0,5,0
2012-02-24,4,1,0
2012-02-27,0,2,0
2012-02-28,3,10,0
2012-02-29,7,5,1
2012-03-01,3,9,0
2012-03-02,1,2,0
2012-03-03,0,0,1
2012-03-05,0,8,0
2012-03-06,2,2,0
2012-03-07,0,4,0
2012-03-08,1,1,0
2012-03-09,4,11,1
2012-03-12,0,1,0
2012-03-13,3,7,0
2012-03-14,3,3,0
2012-03-15,1,5,0
2012-03-16,3,3,0
2012-03-20,1,3,0
2012-03-21,0,1,0
2012-03-22,0,9,0
2012-03-23,3,1,0
2012-03-26,0,5,1
2012-03-27,1,3,0
2012-03-28,4,7,0
2012-03-29,3,9,0
2012-03-30,3,4,0
2012-04-02,1,6,0
2012-04-03,2,2,1
2012-04-04,2,10,1
2012-04-05,0,2,1
2012-04-06,2,7,0
2012-04-10,0,2,0
2012-04-11,0,2,0
2012-04-12,3,6,0
2012-04-13,5,4,0
2012-04-15,0,1,0
2012-04-16,1,5,0
2012-04-17,3,9,0
2012-04-19,0,6,0
2012-04-20,2,4,0
2012-04-23,1,7,0
2012-04-24,0,3,0
2012-04-25,4,1,0
2012-04-26,2,9,0
2012-04-27,4,9,0
2012-04-30,6,6,0
2012-05-01,1,2,0
2012-05-02,1,8,0
2012-05-03,2,3,0
2012-05-04,3,9,0
2012-05-05,2,0,0
2012-05-07,0,3,0
2012-05-08,0,3,0
2012-05-09,0,1,0
2012-05-10,1,6,0
2012-05-11,4,4,0
2012-05-14,0,4,0
2012-05-15,11,15,1
2012-05-16,2,4,0
2012-05-17,0,5,0
2012-05-18,1,2,0
2012-05-21,0,1,0
2012-05-22,0,3,0
2012-05-23,0,4,1
2012-05-24,4,10,0
2012-05-25,0,2,0
2012-05-29,2,3,0
2012-05-30,0,3,0
2012-05-31,6,9,0
2012-06-01,4,13,0
2012-06-04,1,3,0
2012-06-05,1,7,1
2012-06-06,4,3,0
2012-06-07,0,1,0
2012-06-08,1,5,0
2012-06-12,1,1,0
2012-06-13,7,9,0
2012-06-14,5,4,0
2012-06-15,1,2,0
2012-06-19,1,4,0
2012-06-20,4,3,0
2012-06-21,1,11,1
2012-06-22,0,3,0
2012-06-25,0,2,0
2012-06-26,0,2,0
2012-06-27,3,4,0
2012-06-28,5,4,1
2012-06-29,2,4,1
2012-07-02,1,6,0
2012-07-03,1,2,0
2012-07-04,1,4,0
2012-07-05,1,5,1
2012-07-06,2,5,1
2012-07-09,0,3,0
2012-07-11,3,3,0
2012-07-12,2,6,0
2012-07-13,1,2,0
2012-07-16,3,3,0
2012-07-17,4,6,0
2012-07-18,2,2,0
2012-07-19,0,3,0
2012-07-20,1,1,0
2012-07-23,0,2,0
2012-07-24,0,9,0
2012-07-25,0,4,0
2012-07-26,1,3,1
2012-07-27,4,6,0
2012-07-30,0,2,0
2012-07-31,5,7,0
2012-08-01,2,7,1
2012-08-02,2,3,1
2012-08-03,3,10,1
2012-08-06,0,2,0
2012-08-07,0,4,0
2012-08-08,0,2,0
2012-08-09,1,2,0
2012-08-10,4,6,0
2012-08-14,7,13,0
2012-08-15,2,4,0
2012-08-16,2,5,0
2012-08-17,2,2,0
2012-08-21,0,1,0
2012-08-22,1,1,0
2012-08-23,3,11,0
2012-08-24,1,3,0
2012-08-27,0,3,0
2012-08-28,0,2,0
2012-08-29,5,5,0
2012-08-30,2,8,0
2012-08-31,2,6,0
2012-09-03,0,2,0
2012-09-04,2,4,0
2012-09-05,0,4,0
2012-09-06,4,6,0
2012-09-07,2,6,0
2012-09-10,0,5,0
2012-09-11,0,2,0
2012-09-12,4,7,0
2012-09-13,6,9,1
2012-09-14,6,6,0
2012-09-17,0,1,0
2012-09-18,1,7,0
2012-09-19,0,3,0
2012-09-20,1,14,0
2012-09-21,0,4,0
2012-09-24,0,3,0
2012-09-25,1,5,0
2012-09-26,2,3,0
2012-09-27,6,11,0
2012-09-28,1,12,0
2012-10-01,1,6,1
2012-10-02,1,1,0
2012-10-03,1,6,0
2012-10-04,3,4,0
2012-10-05,2,6,1
2012-10-08,0,3,0
2012-10-09,0,0,1
2012-10-10,1,10,0
2012-10-11,8,6,0
2012-10-12,3,7,0
2012-10-15,1,4,0
2012-10-16,5,10,0
2012-10-17,0,3,0
2012-10-18,2,4,0
2012-10-19,2,2,0
2012-10-23,0,1,1
2012-10-24,2,10,1
2012-10-25,1,4,0
2012-10-26,3,3,0
2012-10-28,0,1,0
2012-10-29,3,8,0
2012-10-30,3,8,0
2012-10-31,0,12,1
2012-11-01,2,6,0
2012-11-02,2,7,0
2012-11-05,1,1,0
2012-11-06,1,7,1
2012-11-07,0,4,1
2012-11-08,2,4,0
2012-11-09,3,8,0
2012-11-10,1,0,0
2012-11-12,1,1,0
2012-11-13,2,8,0
2012-11-14,5,10,0
2012-11-15,8,14,0
2012-11-16,0,4,0
2012-11-19,0,6,0
2012-11-20,2,5,1
2012-11-21,0,5,0
2012-11-22,0,7,0
2012-11-23,3,8,
2012-11-26,1,2,0
2012-11-27,3,5,0
2012-11-28,2,6,0
2012-11-29,2,7,0
2012-11-30,7,14,0
2012-12-03,1,8,0
2012-12-04,0,2,0
2012-12-05,1,8,0
2012-12-06,4,3,1
2012-12-07,3,9,1
2012-12-10,0,3,0
2012-12-11,2,3,0
2012-12-12,5,4,0
2012-12-13,3,7,0
2012-12-14,5,12,1
2012-12-17,0,3,0
2012-12-18,0,2,0
2012-12-19,0,5,0
2012-12-20,3,8,0
2012-12-21,0,5,0
2012-12-27,1,2,0
2012-12-28,0,4,0
2013-01-02,3,6,0
2013-01-03,2,3,0
2013-01-04,2,13,0
2013-01-07,1,2,0
2013-01-08,1,7,0
2013-01-09,0,1,0
2013-01-10,2,2,1
2013-01-11,0,2,1
2013-01-14,0,4,0
2013-01-15,6,6,0
2013-01-16,6,6,0
2013-01-17,1,6,0
2013-01-18,1,0,0
2013-01-21,1,1,0
2013-01-22,1,5,0
2013-01-23,0,2,0
2013-01-24,0,8,0
