Date,Time,Open,Close,High,Low,Volume
2009.08.26,00:00,1.42983,1.43500,1.42065,1.42411,57361
2009.08.27,00:00,1.42407,1.44049,1.42192,1.43478,58241
2009.08.28,00:00,1.43481,1.43880,1.42811,1.43022,53894
2009.08.31,00:00,1.43064,1.43668,1.42559,1.43311,49935
2009.09.01,00:00,1.43317,1.43773,1.41773,1.42181,59925
2009.09.02,00:00,1.42191,1.42938,1.41892,1.42595,59786
2009.09.03,00:00,1.42600,1.43473,1.42359,1.42572,54643
2009.09.04,00:00,1.42572,1.43262,1.41914,1.42955,50104
2009.09.07,00:00,1.43059,1.43595,1.43018,1.43374,35532
2009.09.08,00:00,1.43370,1.45341,1.43278,1.44941,58094
2009.09.09,00:00,1.44930,1.45993,1.44664,1.45642,58625
2009.09.10,00:00,1.45637,1.46128,1.45024,1.45787,55870
2009.09.11,00:00,1.45796,1.46337,1.45536,1.45697,54930
2009.09.14,00:00,1.45987,1.46516,1.45154,1.46274,57290
2009.09.15,00:00,1.46277,1.46848,1.45615,1.46610,57126
2009.09.16,00:00,1.46598,1.47362,1.46415,1.47078,59523
2009.09.17,00:00,1.47061,1.47659,1.46879,1.47436,55884
2009.09.18,00:00,1.47433,1.47437,1.46470,1.47106,50371
2009.09.21,00:00,1.46928,1.47125,1.46110,1.46763,49898
2009.09.22,00:00,1.46793,1.48203,1.46748,1.47893,52772
2009.09.23,00:00,1.47889,1.48427,1.46899,1.46899,61460
2009.09.24,00:00,1.46886,1.48016,1.46282,1.46606,66587
2009.09.25,00:00,1.46608,1.47239,1.46142,1.46881,65894
2009.09.28,00:00,1.47007,1.47193,1.45640,1.46128,64817
2009.09.29,00:00,1.46132,1.46452,1.45274,1.45832,64785
2009.09.30,00:00,1.45844,1.46730,1.45752,1.46368,65564
2009.10.01,00:00,1.46367,1.46676,1.45170,1.45419,62657
2009.10.02,00:00,1.45414,1.46457,1.44835,1.45740,59197
2009.10.05,00:00,1.45883,1.46676,1.45791,1.46474,56195
2009.10.06,00:00,1.46476,1.47609,1.46445,1.47209,61405
2009.10.07,00:00,1.47209,1.47355,1.46489,1.46865,57700
2009.10.08,00:00,1.46864,1.48159,1.46816,1.47912,61709
2009.10.09,00:00,1.47910,1.47933,1.46723,1.47300,60216
2009.10.12,00:00,1.47177,1.48115,1.46752,1.47754,49221
2009.10.13,00:00,1.47767,1.48737,1.47608,1.48509,61153
2009.10.14,00:00,1.48507,1.49443,1.48375,1.49323,65961
2009.10.15,00:00,1.49329,1.49656,1.48415,1.49352,65325
2009.10.16,00:00,1.49356,1.49651,1.48473,1.49035,63694
2009.10.19,00:00,1.48932,1.49790,1.48267,1.49640,60462
2009.10.20,00:00,1.49641,1.49931,1.48823,1.49396,62191
2009.10.21,00:00,1.49395,1.50453,1.48879,1.50072,66949
2009.10.22,00:00,1.50068,1.50375,1.49435,1.50261,64057
2009.10.23,00:00,1.50258,1.50595,1.49855,1.50072,62347
2009.10.26,00:00,1.50090,1.50617,1.48448,1.48652,57983
