,Index,Price_Gradient,Price,CH_Gradient,CH,lof
3,2016-06-01 00:05:00,-4.999999999921734e-06,1.11284,-4.55226098683656e-06,0.00015086402865410536,102.20948351492265
9,2016-06-01 00:11:00,5.000000000032756e-06,1.11235,-1.0179966052960756e-05,0.00017443939675748486,66.31445483375207
15,2016-06-01 00:17:00,-4.499999999996174e-05,1.1122,2.7196790369487525e-06,0.00015085627523699386,58.843868423703576
21,2016-06-01 00:23:00,3.0000000000085517e-05,1.11216,6.666780756850631e-06,0.00013294474056542124,57.05950756077351
27,2016-06-01 00:29:00,9.9999999999989e-05,1.1125200000000002,1.3607701138893941e-05,0.00012892389909799676,77.87321385551569
33,2016-06-01 00:35:00,7.999999999996898e-05,1.11305,6.815241476757354e-06,0.00016835270869008066,65.42152128413122
39,2016-06-01 00:41:00,0.00013499999999999623,1.11338,-1.2428148721364715e-05,0.00022798620875837887,98.11305743458746
45,2016-06-01 00:47:00,9.499999999995624e-05,1.11271,-5.415105215615559e-07,0.00020079685489632807,62.188114201657335
51,2016-06-01 00:53:00,6.499999999998174e-05,1.11268,-1.6742801297885033e-05,0.00016659222667953833,51.161512234750084
57,2016-06-01 00:59:00,-4.500000000007276e-05,1.1125,-1.7995206229984078e-06,0.00014838953371639954,58.77594559975483
63,2016-06-01 01:05:00,0.00010999999999994348,1.1132,-6.891913364064244e-06,0.0001430553609182399,71.71609045249457
69,2016-06-01 01:11:00,0.0,1.11314,-1.5381217560994155e-06,0.00011541291371076512,75.62751675940318
75,2016-06-01 01:17:00,-2.0000000000020002e-05,1.11284,1.1275065566934634e-05,9.887001271395632e-05,65.42269839019602
81,2016-06-01 01:23:00,-0.00012999999999996348,1.11301,-4.60423320535322e-06,0.00014164966667263941,62.65048205724153
87,2016-06-01 01:29:00,0.00012999999999985246,1.113,-4.397795939308168e-06,0.0001089624515497516,54.27376987602173
93,2016-06-01 01:35:00,1.4999999999876223e-05,1.11396,-9.304218636241914e-06,0.00015473315490867768,88.14801477173604
99,2016-06-01 01:41:00,2.9999999999974488e-05,1.11444,1.607804029967573e-05,0.000113079888338025,82.41553588458179
105,2016-06-01 01:47:00,0.0005700000000000706,1.11442,3.101634582754953e-05,0.00012847535570242538,78.6216032120331
111,2016-06-01 01:53:00,4.499999999996174e-05,1.11511,-2.5547686719075134e-05,0.0002274231500409712,84.11569214890989
117,2016-06-01 01:59:00,5.500000000002725e-05,1.11527,-1.0770085335990397e-05,0.00017356549778145983,64.78480152158683
123,2016-06-01 02:05:00,-6.499999999987072e-05,1.1151,-3.3388861558930643e-06,0.00016679824303082798,82.37939842080797
129,2016-06-01 02:11:00,0.00015500000000001624,1.11469,2.0556439485149347e-05,0.00018795409693445094,102.14224082772026
135,2016-06-01 02:17:00,9.00000000000345e-05,1.11482,-1.412321733989902e-05,0.00016135616474295382,69.50056444302824
141,2016-06-01 02:23:00,7.000000000001451e-05,1.11499,5.300985434445775e-06,0.00013234201961633422,75.93115420712905
147,2016-06-01 02:29:00,-9.9999999999989e-05,1.11536,1.3350475798425555e-05,0.00013920195652563893,67.26175550596004
153,2016-06-01 02:35:00,0.00014999999999998348,1.11511,-1.13935597376401e-05,0.00014682531337620433,80.13001575246173
159,2016-06-01 02:41:00,6.499999999998174e-05,1.11542,-4.63542296355887e-06,0.0001245859948726919,97.36143262298252
165,2016-06-01 02:47:00,0.00013499999999999623,1.11604,-4.42959195432484e-06,0.00012698963149964502,61.97413255451567
171,2016-06-01 02:53:00,-0.00018499999999999078,1.11595,1.4095788938009639e-06,0.0001311087205207616,67.07081973163514
177,2016-06-01 02:59:00,-9.9999999999989e-05,1.11549,2.3195339650533142e-06,0.00011520164244941844,143.32676766896404
183,2016-06-01 03:05:00,-9.500000000006724e-05,1.1153,-6.6240957690113765e-06,0.00012534317396393498,75.20702287297318
189,2016-06-01 03:11:00,-3.5000000000007254e-05,1.11553,9.84072010409807e-06,0.00014542118261151986,68.4192222594239
195,2016-06-01 03:17:00,-5.000000000032756e-06,1.11568,-2.53205842073723e-06,0.00011950729632049912,67.06832156319514
201,2016-06-01 03:23:00,5.9999999999948976e-05,1.11583,8.418719542858293e-06,0.00013818744796749487,60.83811466608019
207,2016-06-01 03:29:00,2.9999999999974488e-05,1.11581,3.5158131176960137e-06,0.00011784731297518494,100.80702944040566
213,2016-06-01 03:35:00,-3.5000000000007254e-05,1.11585,-3.3783754534302757e-06,0.000160699542813456,122.52922302180153
219,2016-06-01 03:41:00,9.999999999954491e-06,1.11603,-5.723755599282245e-06,0.00011073752484474607,64.8140589134687
225,2016-06-01 03:47:00,-4.9999999999994487e-05,1.11616,-5.922894599725809e-06,0.00010838355003898141,65.78935616712984
231,2016-06-01 03:53:00,-5.500000000002725e-05,1.1157700000000002,9.38216903726876e-06,0.00013543953796695072,55.26085942417493
237,2016-06-01 03:59:00,-4.500000000007276e-05,1.11625,-5.094145120165704e-06,0.00011734261929058899,62.58068948436482
243,2016-06-01 04:05:00,3.999999999992898e-05,1.11608,-4.5767100695383485e-06,9.678643685516522e-05,83.35217865137281
249,2016-06-01 04:11:00,-1.4999999999987244e-05,1.11605,3.316519765046833e-06,9.751476532190484e-05,89.961447573938
255,2016-06-01 04:17:00,8.999999999992347e-05,1.11602,4.562173818981325e-06,0.00010662330383294096,60.57028649829163
261,2016-06-01 04:23:00,0.00013999999999991797,1.1167,3.1559106984825533e-05,0.000122322470801544,79.06939705701609
267,2016-06-01 04:29:00,-7.499999999993623e-05,1.11656,-6.436181214330838e-06,0.00011704908491242193,61.34112382935931
273,2016-06-01 04:35:00,-0.0001449999999999507,1.11609,3.4993385022736236e-06,0.00011063006027197005,70.50354386465604
279,2016-06-01 04:41:00,0.0,1.1161,-3.5011212427957023e-06,0.00010913334570854286,47.18570777455537
