,Index,Price_Gradient,Price,CH_Gradient,CH,lof
0,2015-01-01 11:01:00,-5.000000000032756e-06,1.20962,-2.352271032448838e-06,0.00011385100311966199,4.9473939225118
5,2015-01-01 11:07:00,0.00012999999999985246,1.20987,-1.967644386190847e-06,0.00011787282475245547,4.673126601244588
10,2015-01-01 11:12:00,9.000000000014552e-05,1.20987,-2.4104586355484293e-06,0.0001314921097383179,4.673126601244588
15,2015-01-01 11:27:00,0.00012000000000000902,1.21003,1.109705105974712e-05,0.00013814191164352192,7.190579659500623
20,2015-01-01 11:35:00,-0.0001449999999999507,1.21005,4.106504370613908e-06,0.00014853782474885422,4.384425501888222
25,2015-01-01 11:40:00,-0.00013499999999999623,1.21032,4.6459551373313486e-06,0.00015992958891708058,4.105618627338397
30,2015-01-01 11:51:00,-9.999999999954491e-06,1.21006,-5.3054731493388735e-06,0.0001428300489233634,4.217224055573513
35,2015-01-01 12:02:00,0.00017000000000000348,1.21002,-3.31137304045532e-06,0.00012185765887387229,3.804057641330862
40,2015-01-01 15:04:00,-4.499999999996174e-05,1.21042,-4.3063427290941105e-06,0.00013326862781207842,6.1486406750408715
45,2015-01-01 15:09:00,-5.000000000032756e-06,1.2103,-2.5265774950491392e-06,0.00011666119547820806,4.898671101604375
50,2015-01-01 15:14:00,4.999999999921734e-06,1.2103700000000002,-1.7138666112672329e-06,0.00010685453109573411,4.898671101604375
55,2015-01-01 15:19:00,0.0,1.21004,-2.75428897454905e-06,0.00011688714396612162,6.683422713057521
60,2015-01-01 15:24:00,3.5000000000007254e-05,1.21013,-9.08167534542058e-07,0.00010893815120103164,3.8238682255093157
65,2015-01-01 15:29:00,3.999999999992898e-05,1.21015,-2.1203475908169827e-07,0.00010809608933334023,3.4434949113940947
70,2015-01-01 15:34:00,5.000000000032756e-06,1.2102,2.6248107420352273e-07,0.00010641067635633459,4.678033675077721
75,2015-01-01 15:39:00,2.499999999994173e-05,1.21021,-1.2238447469576312e-07,0.00010080274267107052,4.678033675077721
80,2015-01-01 15:44:00,-3.0000000000085517e-05,1.21038,2.3146867681510267e-06,0.00010528409129909893,4.206228936898048
85,2015-01-01 15:49:00,0.0,1.21023,-1.295576136527172e-06,0.00010332936868023608,7.038545791884513
90,2015-01-01 15:54:00,2.0000000000020002e-05,1.21016,2.4111301245728277e-06,0.00011650036934401045,7.764878297219425
95,2015-01-01 15:59:00,-5.9999999999948976e-05,1.21016,-6.708645225687053e-07,0.00010981206603469144,4.183702082937968
100,2015-01-01 16:04:00,0.0,1.21007,-1.0639923734091214e-06,0.00010534981724622329,4.855614659646943
105,2015-01-01 16:09:00,-6.999999999990347e-05,1.2101,-6.346353865335564e-07,0.00010263806395648167,3.9795236116292787
110,2015-01-01 16:14:00,-5.000000000032756e-06,1.21004,1.4411599221911346e-05,0.00012878048649960495,7.190579659500623
115,2015-01-01 16:19:00,-4.499999999996174e-05,1.20999,-4.8037784150764166e-06,0.00013941756244246928,4.217224055573513
120,2015-01-01 16:24:00,-0.0006749999999999813,1.20966,6.90939199873047e-07,0.0001219056833734205,6.03575868997118
125,2015-01-01 16:29:00,-0.00013999999999991797,1.20832,-1.694614023938133e-05,0.0003004163928809393,10.018927183726836
130,2015-01-01 16:34:00,1.0000000000065512e-05,1.20795,-4.748338697545517e-06,0.0002414438463446707,4.154094927155329
135,2015-01-01 16:39:00,-2.499999999994173e-05,1.20806,-9.745922621115517e-06,0.00021644017832339585,5.970461172107329
140,2015-01-01 16:44:00,9.9999999999989e-05,1.20831,3.33330665549355e-06,0.00018894189096744287,6.209626335321756
145,2015-01-01 16:49:00,-1.0000000000065512e-05,1.20835,-6.906851243654251e-06,0.00016209341510057819,3.6443138373072443
150,2015-01-01 16:54:00,-1.5000000000098266e-05,1.20887,1.5329885072454038e-06,0.00014902157484894126,4.0219858516079485
155,2015-01-01 16:59:00,-0.00013500000000010726,1.20866,7.4202397216422976e-06,0.00014540246373680245,7.082348493490827
160,2015-01-01 17:04:00,-5.000000000032756e-06,1.20879,-4.576445655932383e-06,0.00014527112184704692,6.494598603689535
